,study_ID,site_ID,state,rye_planting_date,rye_sampling_date,growing_days,N_rate_fall.kg_ha,N_rate_spring.kg_ha,zone,GS0_20avgTmin,GS0_20avgTmax,GS0_20avgTavg,GS0_20avgSrad,GS0_20cRain,GS0_20cGDD,GS20_30avgTmin,GS20_30avgTmax,GS20_30avgTavg,GS20_30avgSrad,GS20_30cRain,GS20_30cGDD,GS30_40avgTmin,GS30_40avgTmax,GS30_40avgTavg,GS30_40avgSrad,GS30_40cRain,GS30_40cGDD,GS40_50avgTmin,GS40_50avgTmax,GS40_50avgTavg,GS40_50avgSrad,GS40_50cRain,GS40_50cGDD,GS50avgTmin,GS50avgTmax,GS50avgTavg,GS50avgSrad,GS50cRain,GS50cGDD,FallcumGDD,SpringcumGDD,TotalcumGDD,OM (%/100),Sand,Silt,Clay,awc,legume_preceding,planting_method,cn_ratio_mean,cn_ratio_std,cn_ratio_count,biomass_mean,biomass_mean_std,biomass_count
71,8,4,MD,10/13/10,3/2/11,140,0,0,7b,-0.24,9.17,4.46,8.28,276.8,373.84,,,,,,,,,,,,,,,,,,,,,,,,,311.515,4.35,373.835,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,15.40263819,,1,828.465,,1
72,8,4,MD,10/13/10,3/28/11,166,0,0,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.69,13.47,8.08,14.01,27.7,67.085,,,,,,,,,,,,,,,,,,,311.515,91.195,460.68,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,23.91806999,,1,1923.575,,1
73,8,4,MD,10/13/10,5/2/11,201,0,0,7b,-0.17,9.29,4.56,8.48,367.38,393.6,2.75,13.74,8.25,14.45,53.79,104.885,8.19,18.75,13.47,17.05,46.08,108.855,11.29,23.83,17.56,19.16,18.31,105.275,13.2,22.61,17.91,17.46,4.32,81.055,311.515,424.185,793.67,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,40.3314123,,1,6542.4325,,1
74,8,4,MD,10/6/11,3/1/12,147,0,33.63,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.4,10.81,5.61,7.72,247.91,227.66,,,,,,,,,,,,,,,,,,,438.33,7.78,607.715,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,21.77,,1,1863.825,,1
75,8,4,MD,10/6/11,3/22/12,168,0,33.63,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.07,22.23,16.65,13.64,10.75,98.005,,,,,,,,,,,,,438.33,177.23,777.165,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,18.1075,,1,2977.85,,1
76,8,4,MD,10/6/11,4/20/12,197,0,33.63,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.28,22.88,17.08,13.61,14.32,114.115,5.72,17.69,11.71,16.66,8.48,116.895,8.31,21.19,14.75,19.6,4.58,124.21,438.33,434.45,1034.385,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,41.57118499,,1,12144.2975,,1
77,8,4,MD,10/6/11,3/1/12,147,0,67.26,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.4,10.81,5.61,7.72,247.91,227.66,,,,,,,,,,,,,,,,,,,438.33,7.78,607.715,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,20.795,,1,1972.8,,1
78,8,4,MD,10/6/11,3/22/12,168,0,67.26,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.07,22.23,16.65,13.64,10.75,98.005,,,,,,,,,,,,,438.33,177.23,777.165,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,14.5,,1,2838.775,,1
79,8,4,MD,10/6/11,4/20/12,197,0,67.26,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.28,22.88,17.08,13.61,14.32,114.115,5.72,17.69,11.71,16.66,8.48,116.895,8.31,21.19,14.75,19.6,4.58,124.21,438.33,434.45,1034.385,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,33.47534058,,1,12823.3175,,1
80,8,4,MD,10/6/11,3/1/12,147,168.15,0,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.4,10.81,5.61,7.72,247.91,227.66,,,,,,,,,,,,,,,,,,,438.33,7.78,607.715,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,18.55,,1,6100.525,,1
81,8,4,MD,10/6/11,3/22/12,168,168.2,0,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.07,22.23,16.65,13.64,10.75,98.005,,,,,,,,,,,,,438.33,177.23,777.165,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,21.86,,1,7229.725,,1
82,8,4,MD,10/6/11,4/20/12,197,168.2,0,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.28,22.88,17.08,13.61,14.32,114.115,5.72,17.69,11.71,16.66,8.48,116.895,8.31,21.19,14.75,19.6,4.58,124.21,438.33,434.45,1034.385,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,41.1369457,,1,17102.68,,1
83,8,4,MD,10/6/11,3/1/12,147,168.15,33.63,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.4,10.81,5.61,7.72,247.91,227.66,,,,,,,,,,,,,,,,,,,438.33,7.78,607.715,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,18.8925,,1,6622.375,,1
84,8,4,MD,10/6/11,3/22/12,168,168.2,33.63,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.07,22.23,16.65,13.64,10.75,98.005,,,,,,,,,,,,,438.33,177.23,777.165,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,19.765,,1,8497.225,,1
85,8,4,MD,10/6/11,4/20/12,197,168.2,33.63,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.28,22.88,17.08,13.61,14.32,114.115,5.72,17.69,11.71,16.66,8.48,116.895,8.31,21.19,14.75,19.6,4.58,124.21,438.33,434.45,1034.385,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,32.55770341,,1,14517.3475,,1
86,8,4,MD,10/6/11,3/1/12,147,168.15,67.26,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.4,10.81,5.61,7.72,247.91,227.66,,,,,,,,,,,,,,,,,,,438.33,7.78,607.715,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,18.5975,,1,6408.725,,1
87,8,4,MD,10/6/11,3/22/12,168,168.2,67.26,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.07,22.23,16.65,13.64,10.75,98.005,,,,,,,,,,,,,438.33,177.23,777.165,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,16.97,,1,7461.975,,1
88,8,4,MD,10/6/11,4/20/12,197,168.2,67.26,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.28,22.88,17.08,13.61,14.32,114.115,5.72,17.69,11.71,16.66,8.48,116.895,8.31,21.19,14.75,19.6,4.58,124.21,438.33,434.45,1034.385,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,32.29669558,,1,14847.7225,,1
89,8,4,MD,10/6/11,3/1/12,147,33.63,0,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.4,10.81,5.61,7.72,247.91,227.66,,,,,,,,,,,,,,,,,,,438.33,7.78,607.715,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,26.595,,1,2826.625,,1
90,8,4,MD,10/6/11,3/22/12,168,33.63,0,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.07,22.23,16.65,13.64,10.75,98.005,,,,,,,,,,,,,438.33,177.23,777.165,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,26.6225,,1,2943.4,,1
91,8,4,MD,10/6/11,4/20/12,197,33.63,0,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.28,22.88,17.08,13.61,14.32,114.115,5.72,17.69,11.71,16.66,8.48,116.895,8.31,21.19,14.75,19.6,4.58,124.21,438.33,434.45,1034.385,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,49.34949353,,1,10995.03,,1
92,8,4,MD,10/6/11,3/1/12,147,33.63,33.63,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.4,10.81,5.61,7.72,247.91,227.66,,,,,,,,,,,,,,,,,,,438.33,7.78,607.715,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,23.63,,1,2925,,1
93,8,4,MD,10/6/11,3/22/12,168,33.63,33.63,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.07,22.23,16.65,13.64,10.75,98.005,,,,,,,,,,,,,438.33,177.23,777.165,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,17.9825,,1,3885.825,,1
94,8,4,MD,10/6/11,4/20/12,197,33.63,33.63,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.28,22.88,17.08,13.61,14.32,114.115,5.72,17.69,11.71,16.66,8.48,116.895,8.31,21.19,14.75,19.6,4.58,124.21,438.33,434.45,1034.385,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,40.2829254,,1,13668.2275,,1
95,8,4,MD,10/6/11,3/1/12,147,33.63,67.26,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.4,10.81,5.61,7.72,247.91,227.66,,,,,,,,,,,,,,,,,,,438.33,7.78,607.715,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,24.37333333,,1,2649.875,,1
96,8,4,MD,10/6/11,3/22/12,168,33.63,67.26,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.07,22.23,16.65,13.64,10.75,98.005,,,,,,,,,,,,,438.33,177.23,777.165,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,16.355,,1,3628,,1
97,8,4,MD,10/6/11,4/20/12,197,33.63,67.26,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.28,22.88,17.08,13.61,14.32,114.115,5.72,17.69,11.71,16.66,8.48,116.895,8.31,21.19,14.75,19.6,4.58,124.21,438.33,434.45,1034.385,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,39.77042681,,1,13827.085,,1
98,8,4,MD,10/6/11,3/1/12,147,67.26,0,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.4,10.81,5.61,7.72,247.91,227.66,,,,,,,,,,,,,,,,,,,438.33,7.78,607.715,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,25.4475,,1,3690.45,,1
99,8,4,MD,10/6/11,3/22/12,168,67.26,0,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.07,22.23,16.65,13.64,10.75,98.005,,,,,,,,,,,,,438.33,177.23,777.165,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,27.43,,1,4799.05,,1
100,8,4,MD,10/6/11,4/20/12,197,67.26,0,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.28,22.88,17.08,13.61,14.32,114.115,5.72,17.69,11.71,16.66,8.48,116.895,8.31,21.19,14.75,19.6,4.58,124.21,438.33,434.45,1034.385,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,52.87360847,,1,14124.42,,1
101,8,4,MD,10/6/11,3/1/12,147,67.26,33.63,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.4,10.81,5.61,7.72,247.91,227.66,,,,,,,,,,,,,,,,,,,438.33,7.78,607.715,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,25.83333333,,1,4203.025,,1
102,8,4,MD,10/6/11,3/22/12,168,67.26,33.63,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.07,22.23,16.65,13.64,10.75,98.005,,,,,,,,,,,,,438.33,177.23,777.165,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,20.9675,,1,4725.6,,1
103,8,4,MD,10/6/11,4/20/12,197,67.26,33.63,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.28,22.88,17.08,13.61,14.32,114.115,5.72,17.69,11.71,16.66,8.48,116.895,8.31,21.19,14.75,19.6,4.58,124.21,438.33,434.45,1034.385,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,43.20616985,,1,15561.1825,,1
104,8,4,MD,10/6/11,3/1/12,147,67.26,67.26,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.4,10.81,5.61,7.72,247.91,227.66,,,,,,,,,,,,,,,,,,,438.33,7.78,607.715,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,26.89666667,,1,4197.675,,1
105,8,4,MD,10/6/11,3/22/12,168,67.26,67.26,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.07,22.23,16.65,13.64,10.75,98.005,,,,,,,,,,,,,438.33,177.23,777.165,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,17.975,,1,5579.75,,1
106,8,4,MD,10/6/11,4/20/12,197,67.26,67.26,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.28,22.88,17.08,13.61,14.32,114.115,5.72,17.69,11.71,16.66,8.48,116.895,8.31,21.19,14.75,19.6,4.58,124.21,438.33,434.45,1034.385,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,35.8747418,,1,14457.605,,1
107,8,4,MD,10/6/11,3/1/12,147,100.89,0,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.4,10.81,5.61,7.72,247.91,227.66,,,,,,,,,,,,,,,,,,,438.33,7.78,607.715,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,25.055,,1,5103.775,,1
108,8,4,MD,10/6/11,3/22/12,168,100.9,0,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.07,22.23,16.65,13.64,10.75,98.005,,,,,,,,,,,,,438.33,177.23,777.165,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,26.65,,1,6117.075,,1
109,8,4,MD,10/6/11,4/20/12,197,100.9,0,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.28,22.88,17.08,13.61,14.32,114.115,5.72,17.69,11.71,16.66,8.48,116.895,8.31,21.19,14.75,19.6,4.58,124.21,438.33,434.45,1034.385,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,44.99788486,,1,13361.755,,1
110,8,4,MD,10/6/11,3/1/12,147,100.89,33.63,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.4,10.81,5.61,7.72,247.91,227.66,,,,,,,,,,,,,,,,,,,438.33,7.78,607.715,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,23.38,,1,4677.25,,1
111,8,4,MD,10/6/11,3/22/12,168,100.9,33.63,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.07,22.23,16.65,13.64,10.75,98.005,,,,,,,,,,,,,438.33,177.23,777.165,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,21.035,,1,6121.675,,1
112,8,4,MD,10/6/11,4/20/12,197,100.9,33.63,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.28,22.88,17.08,13.61,14.32,114.115,5.72,17.69,11.71,16.66,8.48,116.895,8.31,21.19,14.75,19.6,4.58,124.21,438.33,434.45,1034.385,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,37.83720372,,1,12944.9225,,1
113,8,4,MD,10/6/11,3/1/12,147,100.89,67.26,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.4,10.81,5.61,7.72,247.91,227.66,,,,,,,,,,,,,,,,,,,438.33,7.78,607.715,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,23.48,,1,4458.225,,1
114,8,4,MD,10/6/11,3/22/12,168,100.9,67.26,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.07,22.23,16.65,13.64,10.75,98.005,,,,,,,,,,,,,438.33,177.23,777.165,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,17.87,,1,5932.05,,1
115,8,4,MD,10/6/11,4/20/12,197,100.9,67.26,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.28,22.88,17.08,13.61,14.32,114.115,5.72,17.69,11.71,16.66,8.48,116.895,8.31,21.19,14.75,19.6,4.58,124.21,438.33,434.45,1034.385,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,33.41324356,,1,14997.4425,,1
116,8,4,MD,10/6/11,3/1/12,147,0,0,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.4,10.81,5.61,7.72,247.91,227.66,,,,,,,,,,,,,,,,,,,438.33,7.78,607.715,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,21.0325,,1,1552.975,,1
117,8,4,MD,10/6/11,3/22/12,168,0,0,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.07,22.23,16.65,13.64,10.75,98.005,,,,,,,,,,,,,438.33,177.23,777.165,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,22.8025,,1,1642.1,,1
118,8,4,MD,10/6/11,4/20/12,197,0,0,7b,6.92,17.64,12.28,9.6,144.75,380.06,0.69,11.44,6.07,8.56,268.75,299.11,11.28,22.88,17.08,13.61,14.32,114.115,5.72,17.69,11.71,16.66,8.48,116.895,8.31,21.19,14.75,19.6,4.58,124.21,438.33,434.45,1034.385,0.0133,0.6746,0.2237,0.1017,0.1447,no,Drilled,48.29698271,,1,10124.8175,,1
119,8,5,PA,9/19/11,3/12/12,175,0,33.63,6b,5.24,15.75,10.5,9.11,249.56,377.69,-3.55,5.81,1.13,7.19,314.35,63.835,,,,,,,,,,,,,,,,,,,412.88,9.42,441.515,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,20.0695,,1,2006.1825,,1
120,8,5,PA,9/19/11,4/3/12,197,0,33.63,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,2.7,15.54,9.12,13.95,33.2,68.845,,,,,,,,,,,,,412.88,154.185,586.28,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,16.33725,,1,2683.9975,,1
121,8,5,PA,9/19/11,5/10/12,234,0,33.63,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,1.45,15.47,8.46,16.3,37.06,108.315,3.01,16.6,9.8,18.26,39.22,90.445,11.84,21.77,16.81,15.54,48.54,111.65,412.88,395.76,827.855,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,46.0025,,1,7656.1675,,1
122,8,5,PA,9/19/11,3/12/12,175,0,67.26,6b,5.24,15.75,10.5,9.11,249.56,377.69,-3.55,5.81,1.13,7.19,314.35,63.835,,,,,,,,,,,,,,,,,,,412.88,9.42,441.515,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,19.9105,,1,1577.7075,,1
123,8,5,PA,9/19/11,4/3/12,197,0,67.26,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,2.7,15.54,9.12,13.95,33.2,68.845,,,,,,,,,,,,,412.88,154.185,586.28,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,12.31775,,1,3027.58,,1
124,8,5,PA,9/19/11,5/10/12,234,0,67.26,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,1.45,15.47,8.46,16.3,37.06,108.315,3.01,16.6,9.8,18.26,39.22,90.445,11.84,21.77,16.81,15.54,48.54,111.65,412.88,395.76,827.855,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,33.029,,1,6661.35,,1
125,8,5,PA,9/19/11,3/12/12,175,168.13,0,6b,5.24,15.75,10.5,9.11,249.56,377.69,-3.55,5.81,1.13,7.19,314.35,63.835,,,,,,,,,,,,,,,,,,,412.88,9.42,441.515,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,17.56275,,1,3488.2875,,1
126,8,5,PA,9/19/11,4/3/12,197,168.13,0,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,2.7,15.54,9.12,13.95,33.2,68.845,,,,,,,,,,,,,412.88,154.185,586.28,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,23.9175,,1,5978.97,,1
127,8,5,PA,9/19/11,5/10/12,234,168.13,0,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,1.45,15.47,8.46,16.3,37.06,108.315,3.01,16.6,9.8,18.26,39.22,90.445,11.84,21.77,16.81,15.54,48.54,111.65,412.88,395.76,827.855,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,51.30675,,1,9003.675,,1
128,8,5,PA,9/19/11,3/12/12,175,168.13,33.63,6b,5.24,15.75,10.5,9.11,249.56,377.69,-3.55,5.81,1.13,7.19,314.35,63.835,,,,,,,,,,,,,,,,,,,412.88,9.42,441.515,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,18.523,,1,4615.05,,1
129,8,5,PA,9/19/11,4/3/12,197,168.13,33.63,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,2.7,15.54,9.12,13.95,33.2,68.845,,,,,,,,,,,,,412.88,154.185,586.28,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,16.10525,,1,5898.465,,1
130,8,5,PA,9/19/11,5/10/12,234,168.13,33.63,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,1.45,15.47,8.46,16.3,37.06,108.315,3.01,16.6,9.8,18.26,39.22,90.445,11.84,21.77,16.81,15.54,48.54,111.65,412.88,395.76,827.855,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,35.95125,,1,8416.6575,,1
131,8,5,PA,9/19/11,3/12/12,175,168.13,67.26,6b,5.24,15.75,10.5,9.11,249.56,377.69,-3.55,5.81,1.13,7.19,314.35,63.835,,,,,,,,,,,,,,,,,,,412.88,9.42,441.515,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,17.3805,,1,4165.7875,,1
132,8,5,PA,9/19/11,4/3/12,197,168.13,67.26,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,2.7,15.54,9.12,13.95,33.2,68.845,,,,,,,,,,,,,412.88,154.185,586.28,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,13.06075,,1,6805.5875,,1
133,8,5,PA,9/19/11,5/10/12,234,168.13,67.26,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,1.45,15.47,8.46,16.3,37.06,108.315,3.01,16.6,9.8,18.26,39.22,90.445,11.84,21.77,16.81,15.54,48.54,111.65,412.88,395.76,827.855,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,27.75675,,1,8426.24,,1
134,8,5,PA,9/19/11,3/12/12,175,33.63,0,6b,5.24,15.75,10.5,9.11,249.56,377.69,-3.55,5.81,1.13,7.19,314.35,63.835,,,,,,,,,,,,,,,,,,,412.88,9.42,441.515,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,21.6515,,1,2262.6225,,1
135,8,5,PA,9/19/11,4/3/12,197,33.63,0,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,2.7,15.54,9.12,13.95,33.2,68.845,,,,,,,,,,,,,412.88,154.185,586.28,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,27.471,,1,4046.8375,,1
136,8,5,PA,9/19/11,5/10/12,234,33.63,0,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,1.45,15.47,8.46,16.3,37.06,108.315,3.01,16.6,9.8,18.26,39.22,90.445,11.84,21.77,16.81,15.54,48.54,111.65,412.88,395.76,827.855,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,68.65275,,1,6558.8025,,1
137,8,5,PA,9/19/11,3/12/12,175,33.63,33.63,6b,5.24,15.75,10.5,9.11,249.56,377.69,-3.55,5.81,1.13,7.19,314.35,63.835,,,,,,,,,,,,,,,,,,,412.88,9.42,441.515,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,20.796,,1,1889.65,,1
138,8,5,PA,9/19/11,4/3/12,197,33.63,33.63,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,2.7,15.54,9.12,13.95,33.2,68.845,,,,,,,,,,,,,412.88,154.185,586.28,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,17.58175,,1,3661.5625,,1
139,8,5,PA,9/19/11,5/10/12,234,33.63,33.63,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,1.45,15.47,8.46,16.3,37.06,108.315,3.01,16.6,9.8,18.26,39.22,90.445,11.84,21.77,16.81,15.54,48.54,111.65,412.88,395.76,827.855,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,41.5235,,1,7382.5425,,1
140,8,5,PA,9/19/11,3/12/12,175,33.63,67.26,6b,5.24,15.75,10.5,9.11,249.56,377.69,-3.55,5.81,1.13,7.19,314.35,63.835,,,,,,,,,,,,,,,,,,,412.88,9.42,441.515,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,22.43625,,1,2371.88,,1
141,8,5,PA,9/19/11,4/3/12,197,33.63,67.26,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,2.7,15.54,9.12,13.95,33.2,68.845,,,,,,,,,,,,,412.88,154.185,586.28,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,13.08,,1,3878.6375,,1
142,8,5,PA,9/19/11,5/10/12,234,33.63,67.26,6b,5.24,15.75,10.5,9.11,249.56,377.69,-2.96,6.85,1.95,7.77,314.97,139.755,1.45,15.47,8.46,16.3,37.06,108.315,3.01,16.6,9.8,18.26,39.22,90.445,11.84,21.77,16.81,15.54,48.54,111.65,412.88,395.76,827.855,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,30.91425,,1,8347.6525,,1
143,8,5,PA,9/19/11,3/12/12,175,67.26,0,6b,5.24,15.75,10.5,9.11,249.56,377.69,-3.55,5.81,1.13,7.19,314.35,63.835,,,,,,,,,,,,,,,,,,,412.88,9.42,441.515,0.0103,0.4028,0.3741,0.2232,0.1196,no,Drilled,20.47775,,1,3276.63,,1
